"Sample.number","Plate.number","ID","Dung.batch","Batch","Pop","NC","Temp","Date.Hatching","Date.First.Transfer","Date.3rd.Ins","Mass.3rd.Ins","Date.PP","Sex","Date.Pupa","Days.to.Pupa","Mass.Pupa","Day.Adult","Adult.Body.Size","Day.Dead","Exclude.date.3rd","Exclude.Mass.3rd","Exclude.Mass.pupa","Exclude.adult","Exclude.death","Exclude.all","Notes"
"751","51.2","51-C1",2,28,"W. Australia","+","Fluctuating","2017-11-30","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-09","No","No","No","No","No","No","Dead 12/9"
"752","51.2","51-C2",2,28,"W. Australia","+","Fluctuating","2017-11-30","2017-12-01","2017-12-09",0.0491,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","DO NOT USE - Dung completely dry, animal can not burrow"
"753","51.2","51-C3",2,28,"W. Australia","+","Fluctuating","2017-11-30","2017-12-01","2017-12-07",0.0876,NA,NA,NA,NA,NA,NA,NA,"2017-12-31","No","No","No","No","No","No","Dead 12/31"
"754","51.2","51-C4",2,28,"W. Australia","+","Fluctuating","2017-11-30","2017-12-01","2017-12-09",0.0583,NA,NA,NA,NA,NA,NA,NA,"2017-12-31","No","No","No","No","No","No","Dead 12/31"
"755","52.2","52-A1",2,28,"N. Carolina","-","Constant","2017-11-30","2017-12-01","2017-12-09",0.0815,"2017-12-21","Male","2017-12-23",14,0.0659,"2018-01-04",4.134,NA,"No","No","No","No","No","No","Made it to adult"
"756","52.2","52-A2",2,28,"N. Carolina","-","Constant","2017-11-30","2017-12-01","2017-12-09",0.0638,"2017-12-31","Male","2018-01-02",24,0.0631,"2018-01-12",4.08,NA,"No","No","No","No","No","No","Made it to adult"
"757","52.2","52-A3",2,28,"N. Carolina","-","Constant","2017-11-30","2017-12-01","2017-12-09",0.0651,"2017-12-29","Male","2017-12-31",22,0.0514,"2018-01-10",3.695,NA,"No","No","No","No","No","No","Made it to adult"
"758","52.2","52-A4",2,28,"N. Carolina","-","Constant","2017-11-30","2017-12-01","2017-12-09",0.062,"2017-12-25","Female","2017-12-27",18,0.0531,"2018-01-06",3.66,NA,"No","No","No","No","No","No","Made it to adult"
"759","52.2","52-B1",2,28,"N. Carolina","-","Constant","2017-11-30","2017-12-01","2017-12-07",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-17","No","No","No","No","Yes","No","Dead 12/17"
"760","52.2","52-B2",2,28,"N. Carolina","-","Constant","2017-11-30","2017-12-01","2017-12-07",0.0945,"2017-12-27","Male","2017-12-29",22,0.0735,"2018-01-08",4.311,NA,"No","No","No","No","No","No","Made it to adult"
"761","52.2","52-B3",2,28,"N. Carolina","-","Constant","2017-11-30","2017-12-01","2017-12-09",0.0624,"2017-12-23","Male","2017-12-25",16,0.0461,"2018-01-04",3.615,NA,"No","No","No","No","No","No","Made it to adult"
"762","52.2","52-B4",2,28,"N. Carolina","-","Constant","2017-11-30","2017-12-01","2017-12-09",0.0752,"2017-12-27","Male","2017-12-29",20,0.0499,"2018-01-08",3.661,NA,"No","No","No","No","No","No","Kinked head 12/15, made it to adult"
"763","53.2","53-A1",2,28,"W. Australia","-","Constant","2017-12-01","2017-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-14","No","No","No","No","No","No","Dead 12/14"
"764","53.2","53-A2",2,28,"W. Australia","-","Constant","2017-12-01","2017-12-02","2017-12-10",0.0527,NA,NA,NA,NA,NA,NA,NA,"2018-01-09","No","No","No","No","No","No","Dying 1/7"
"765","53.2","53-A3",2,28,"W. Australia","-","Constant","2017-12-01","2017-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-26","No","No","No","No","No","No","Dead on 12/26"
"766","53.2","53-A4",2,28,"W. Australia","-","Constant","2017-12-01","2017-12-02","2017-12-12",0.0669,NA,NA,NA,NA,NA,NA,NA,"2018-01-03","No","No","No","No","No","No","Dead on 1/3"
"767","53.2","53-B1",2,28,"W. Australia","-","Constant","2017-12-01","2017-12-02","2017-12-10",0.078,"2017-12-30","Female","2018-01-01",22,0.0743,"2018-01-11",4.227,NA,"No","No","No","No","No","No","Made it to adult"
"768","53.2","53-B2",2,28,"W. Australia","-","Constant","2017-12-01","2017-12-02","2017-12-10",0.0458,NA,NA,NA,NA,NA,NA,NA,"2018-01-13","No","No","No","No","No","No","Dead 1/13"
"769","53.2","53-B3",2,28,"W. Australia","-","Constant","2017-12-01","2017-12-02","2017-12-12",0.0548,NA,NA,NA,NA,NA,NA,NA,"2018-01-13","No","No","No","No","No","No","Dead 1/13"
"770","53.2","53-B4",2,28,"W. Australia","-","Constant","2017-12-01","2017-12-02","2017-12-12",0.0984,"2017-01-01",NA,"2018-01-03",22,0.0622,NA,NA,"2018-01-09","No","No","No","No","No","No","Sex unclear - failed to fully eclose from larval cuticle"
"771","53.2","53-C1",2,28,"W. Australia","-","Constant","2017-12-01","2017-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-04","No","No","No","No","No","No","Dead 12/4"
"772","53.2","53-C2",2,28,"W. Australia","-","Constant","2017-12-01","2017-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-08","No","No","No","No","No","No","dead 12/8"
"773","53.2","53-C3",2,28,"N. Carolina","-","Constant","2017-12-01","2017-12-02","2017-12-10",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-16","No","No","No","No","No","No","Dead 12/16"
"774","53.2","53-C4",2,28,"N. Carolina","-","Constant","2017-12-01","2017-12-02","2017-12-06",0.0906,"2017-12-18","Female","2017-12-20",14,0.082,"2017-12-30",4.302,NA,"No","No","No","No","No","No","Made it to adult"
"775","54.2","54-A1",2,28,"N. Carolina","+","Constant","2017-12-01","2017-12-02","2017-12-08",0.0817,"2017-12-22",NA,"2017-12-24",16,NA,NA,NA,NA,"No","Maybe","Maybe","No","Maybe","Maybe","Injured (droplet oozed) 12/12, Dead as pupa 12/26"
"776","54.2","54-A2",2,28,"N. Carolina","+","Constant","2017-12-01","2017-12-02","2017-12-10",0.0757,"2017-12-30","Male","2018-01-01",22,0.0545,"2018-01-11",3.844,NA,"No","No","No","No","No","No","Made it to adult"
"777","54.2","54-A3",2,28,"N. Carolina","+","Constant","2017-12-01","2017-12-02","2017-12-10",0.095,"2017-12-28","Male","2017-12-30",20,0.0535,"2018-01-07",3.788,NA,"No","No","Maybe","No","Maybe","Maybe","Leg pulled off 12/22: Should not count pupal weight for this reason, made it to adult"
"778","54.2","54-A4",2,28,"N. Carolina","+","Constant","2017-12-01","2017-12-02","2017-12-08",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-12","No","No","No","No","No","No","Dead 12/12"
"779","54.2","54-B1",2,28,"N. Carolina","+","Constant","2017-12-01","2017-12-02","2017-12-10",0.0974,"2017-12-28","Male","2017-12-30",20,0.0601,"2018-01-09",3.844,NA,"No","No","No","No","No","No","Made it to adult"
"780","54.2","54-B2",2,28,"N. Carolina","+","Constant","2017-12-01","2017-12-02","2017-12-10",0.0818,"2018-01-01","Male","2018-01-03",24,0.0688,"2018-01-13",3.925,NA,"No","No","No","No","No","No","Made it to adult"
"781","54.2","54-B3",2,28,"N. Carolina","+","Constant","2017-12-01","2017-12-02","2017-12-08",0.1214,"2017-12-28","Female","2017-12-30",22,0.0906,"2018-01-09",4.616,NA,"No","No","No","No","No","No","Made it to adult"
"782","54.2","54-B4",2,28,"N. Carolina","+","Constant","2017-12-01","2017-12-02","2017-12-08",0.0901,"2017-12-28","Male","2017-12-30",22,0.0585,"2018-01-09",4.059,NA,"No","Maybe","Maybe","No","Maybe","Maybe","Injured (droplet oozed) 12/12, made it to adult"
"783","55.2","55-A2",2,28,"N. Carolina","-","Constant","2017-12-01","2017-12-02","2017-12-10",0.0788,"2017-12-26",NA,"2017-12-28",18,0.0554,NA,NA,"2018-01-03","No","No","No","No","No","No","Dead 1/3"
"784","55.2","55-A3",2,28,"N. Carolina","-","Constant","2017-12-01","2017-12-02","2017-12-08",0.096,"2017-12-26","Female","2017-12-28",20,0.0714,"2018-01-07",4.103,NA,"No","No","No","No","No","No","Made it to adult"
"785","55.2","55-A4",2,28,"N. Carolina","-","Constant","2017-12-01","2017-12-02","2017-12-10",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-14","No","No","No","No","No","No","Failed to eclose from l2 head capsule"
"786","55.2","55-B2",2,28,"N. Carolina","-","Constant","2017-12-01","2017-12-02","2017-12-10",0.0525,NA,NA,NA,NA,NA,NA,NA,"2017-12-26","No","No","No","No","No","No","Dead 12/26"
"787","55.2","55-B3",2,28,"N. Carolina","-","Constant","2017-12-01","2017-12-02","2017-12-10",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-12","Maybe","Maybe","Maybe","Maybe","Yes","Maybe","Dead kinked 12/12"
"788","55.2","55-B4",2,28,"N. Carolina","-","Constant","2017-12-01","2017-12-02","2017-12-12",0.0854,"2017-12-28","Male","2017-12-30",18,0.0585,"2018-01-07",3.915,NA,"No","No","No","No","No","No","Made it to adult"
"789","55.2","55-C2",2,28,"N. Carolina","-","Constant","2017-12-01","2017-12-02","2017-12-08",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-10","No","No","No","No","No","No","Dead 12/10"
"790","55.2","55-C3",2,28,"N. Carolina","-","Constant","2017-12-01","2017-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-08","No","No","No","No","No","No","Dead 12/8"
"791","56.2","56-A1",2,28,"W. Australia","-","Fluctuating","2017-12-02","2017-12-03","2017-12-13",0.0554,NA,NA,NA,NA,NA,NA,NA,"2017-12-31","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Kinked 12/7, Dead 12/31"
"792","56.2","56-A2",2,28,"W. Australia","-","Fluctuating","2017-12-02","2017-12-03","2017-12-09",0.0684,NA,NA,NA,NA,NA,NA,NA,"2018-01-04","No","No","No","No","No","No","Dead 1/4"
"793","56.2","56-A3",2,28,"W. Australia","-","Fluctuating","2017-12-02","2017-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-05","No","No","No","No","No","No","Dead  12/5"
"794","56.2","56-A4",2,28,"W. Australia","-","Fluctuating","2017-12-02","2017-12-03","2017-12-09",0.0827,NA,NA,NA,NA,NA,NA,NA,"2018-01-04","No","No","No","No","No","No","Dead 1/4"
"795","56.2","56-B1",2,28,"W. Australia","-","Fluctuating","2017-12-02","2017-12-03","2017-12-13",0.0531,NA,NA,NA,NA,NA,NA,NA,"2018-01-06","No","No","No","No","No","No","Dead 1/6"
"796","56.2","56-B2",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03","2017-12-11",0.0576,NA,NA,NA,NA,NA,NA,NA,"2017-12-31","No","No","No","No","No","No","Dead 12/31"
"797","56.2","56-B3",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-09","No","No","No","No","No","No","Dead 12/9"
"798","56.2","56-B4",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-09","No","No","No","No","No","No","Dead 12/9"
"799","56.2","56-C1",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03","2017-12-09",0.0778,NA,NA,NA,NA,NA,NA,NA,"2017-12-29","No","No","No","No","No","No","Dead 12/29"
"800","56.2","56-C2",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03","2017-12-13",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-17","No","No","No","No","No","No","Dead 12/17"
"801","56.2","56-C3",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03","2017-12-13",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-23","No","No","No","No","No","No","Dead 12/23"
"802","56.2","56-C4",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-08","No","No","No","No","No","No","dead 12/7"
"803","57.2","57-A1",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03","2017-12-11",0.0706,NA,NA,NA,NA,NA,NA,NA,"2018-01-06","No","No","No","No","No","No","Dead 1/6"
"804","57.2","57-A2",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03","2017-12-09",0.07,"2018-01-06","Male","2018-01-10",32,NA,NA,NA,"2018-01-10","No","No","No","No","No","No","Still PP on 1/8, may be dead"
"805","57.2","57-A3",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03","2017-12-09",0.07,"2018-01-02","Female","2018-01-04",26,0.0561,NA,NA,"2018-01-14","No","No","Maybe","No","Maybe","Maybe","Kinked probably on 12/19, prior to 12/21, Dead 1/14"
"806","57.2","57-A4",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03","2017-12-11",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-15","No","No","No","No","No","No","dead 12/15"
"807","57.2","57-B1",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-07","No","No","No","No","No","No","Dead 12/7"
"808","57.2","57-B2",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03","2017-12-09",0.0513,NA,NA,NA,NA,NA,NA,NA,"2018-01-14","No","No","No","No","No","No","Dead 1/14"
"809","57.2","57-B3",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03","2017-12-09",0.0759,NA,NA,NA,NA,NA,NA,NA,"2018-01-04","No","No","No","No","No","No","Dead 1/4"
"810","57.2","57-B4",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-09","No","No","No","No","No","No","Dead 12/9"
"811","57.2","57-C1",2,28,"N. Carolina","-","Fluctuating","2017-12-02","2017-12-03","2017-12-09",0.0386,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","Yes","No",NA
"812","58.2","58-A1",2,28,"W. Australia","-","Fluctuating","2017-12-03","2017-12-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-16","No","No","No","No","No","No","Dead 12/16"
"813","58.2","58-A2",2,28,"W. Australia","-","Fluctuating","2017-12-03","2017-12-04","2017-12-12",NA,NA,NA,NA,NA,NA,NA,NA,"2018-12-14","No","No","No","No","No","No","dead 12/14"
"814","58.2","58-A3",2,28,"N. Carolina","-","Fluctuating","2017-12-03","2017-12-04","2017-12-10",0.0316,NA,NA,NA,NA,NA,NA,NA,"2017-12-24","No","No","No","No","No","No","Dead 12/24"
"815","58.2","58-A4",2,28,"N. Carolina","-","Fluctuating","2017-12-03","2017-12-04","2017-12-10",0.0839,NA,NA,NA,NA,NA,NA,NA,"2018-01-13","No","No","No","No","No","No","Dead 1/13"
"816","58.2","58-B1",2,28,"N. Carolina","-","Fluctuating","2017-12-03","2017-12-04","2017-12-10",0.0563,NA,NA,NA,NA,NA,NA,NA,"2018-01-09","No","No","No","No","No","No","Dead 1/9"
"817","58.2","58-B2",2,29,"W. Australia","-","Fluctuating","2017-12-07","2017-12-08","2017-12-16",0.0736,NA,NA,NA,NA,NA,NA,NA,"2017-12-30","No","No","No","No","No","No","Dead 12/30"
"818","58.2","58-B3",2,29,"W. Australia","-","Fluctuating","2017-12-07","2017-12-08","2017-12-16",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-25","No","No","No","No","No","No","Dead 12/25"
"819","58.2","58-B4",2,29,"W. Australia","-","Fluctuating","2017-12-07","2017-12-08","2017-12-12",0.0974,"2018-01-07",NA,NA,NA,NA,NA,NA,"2018-01-11","No","No","No","No","No","No","Dying 1/9, dead 1/11"
"820","58.2","58-C1",2,29,"W. Australia","-","Fluctuating","2017-12-07","2017-12-08","2017-12-14",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-25","No","No","No","No","No","No","Dead 12/25"
"821","58.2","58-C2",2,29,"W. Australia","-","Fluctuating","2017-12-07","2017-12-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-16","No","No","No","No","No","No","Dead 12/16"
"822","58.2","58-C3",2,29,"W. Australia","-","Fluctuating","2017-12-07","2017-12-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-14","No","No","No","No","No","No","dead 12/14"
"823","59.2","59-A1",2,29,"W. Australia","-","Fluctuating","2017-12-08","2017-12-09","2017-12-15",0.0685,NA,NA,NA,NA,NA,NA,NA,"2018-01-20","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Gunked mandibles prior to 1/18, Dead 1/20"
"824","59.2","59-A2",2,29,"W. Australia","-","Fluctuating","2017-12-08","2017-12-09","2017-12-15",0.0842,"2018-01-06","Male","2018-01-08",24,0.0472,NA,NA,"2018-01-14","No","No","No","No","No","No","Kinked 12/15, Did not fully eclose from larval cuticle, Dead 1/14"
"825","59.2","59-A3",2,29,"W. Australia","-","Fluctuating","2017-12-08","2017-12-09","2017-12-15",0.0621,"2018-01-14",NA,NA,NA,NA,NA,NA,"2018-01-16","No","No","No","No","No","No","Dead 1/16"
"826","59.2","59-A4",2,29,"W. Australia","-","Fluctuating","2017-12-08","2017-12-09","2017-12-15",0.096,"2018-01-10",NA,NA,NA,NA,NA,NA,"2018-01-14","No","No","No","No","No","No","Dead 1/14"
"827","59.2","59-B1",2,29,"W. Australia","-","Fluctuating","2017-12-08","2017-12-09","2017-12-15",0.0552,NA,NA,NA,NA,NA,NA,NA,"2018-01-04","No","No","No","No","No","No","Dead 1/4"
"828","59.2","59-B2",2,29,"W. Australia","-","Fluctuating","2017-12-08","2017-12-09","2017-12-17",0.0619,NA,NA,NA,NA,NA,NA,NA,"2018-01-14","No","No","No","No","No","No","Dead 1/14"
"829","59.2","59-B3",2,29,"W. Australia","-","Fluctuating","2017-12-08","2017-12-09","2017-12-21",0.0412,NA,NA,NA,NA,NA,NA,NA,"2018-01-10","No","No","No","No","No","No","dead 1/10"
"830","59.2","59-B4",2,29,"W. Australia","-","Fluctuating","2017-12-08","2017-12-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-17","No","No","No","No","No","No","dead 12/17"
"831","60.2","60-A1",2,29,"W. Australia","-","Fluctuating","2017-12-09","2017-12-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-26","No","No","No","No","No","No","Dead 12/26"
"832","60.2","60-A2",2,29,"W. Australia","-","Fluctuating","2017-12-09","2017-12-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-16","No","No","No","No","No","No","Dead 12/16"
"833","60.2","60-A3",2,29,"W. Australia","-","Fluctuating","2017-12-09","2017-12-10","2017-12-24",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-30","No","No","No","No","No","No","Dead 12/30"
"834","60.2","60-A4",2,29,"W. Australia","-","Fluctuating","2017-12-09","2017-12-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-14","No","No","No","No","No","No","dead 12/14"
"835","59.2","59-B3",2,30,"W. Australia","-","Fluctuating","2017-12-14","2017-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","[Probably a mistake, 829 and 830 in same wells]"
"836","59.2","59-B4",2,30,"W. Australia","-","Fluctuating","2017-12-14","2017-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","[Probably a mistake, 829 and 830 in same wells]"
"837","61.2","61-A1",2,30,"W. Australia","+","Fluctuating","2017-12-14","2017-12-15","2017-12-25",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-27","No","No","No","No","No","No","Dead 12/27"
"838","61.2","61-A2",2,30,"W. Australia","+","Fluctuating","2017-12-14","2017-12-15","2017-12-23",0.0687,NA,NA,NA,NA,NA,NA,NA,"2018-01-06","No","No","No","No","No","No","Dead 1/6"
"839","61.2","61-A3",2,30,"W. Australia","+","Fluctuating","2017-12-14","2017-12-15","2017-12-23",0.0871,"2018-01-12","Female","2018-01-14",22,0.0409,"2018-01-24",3.343,NA,"No","No","No","No","No","No","Made it to adult"
"840","61.2","61-A4",2,30,"W. Australia","+","Fluctuating","2017-12-14","2017-12-15","2017-12-25",0.0892,"2018-01-14","Male","2018-01-16",22,0.0386,NA,NA,"2018-01-20","No","No","No","No","No","No","Failed to fully eclose from larval cuticle 1/16, Dead 1/20"
"841","61.2","61-B1",2,30,"W. Australia","+","Fluctuating","2017-12-14","2017-12-15","2017-12-23",0.0582,NA,NA,NA,NA,NA,NA,NA,"2018-01-20","No","No","No","No","No","No","Dead 1/20"
"842","61.2","61-B2",2,30,"W. Australia","+","Fluctuating","2017-12-14","2017-12-15","2017-12-23",0.086,"2018-01-15","Female","2018-01-18",26,NA,NA,NA,"2018-01-20","No","Maybe","Maybe","No","Maybe","Maybe","Animal sitting on top of dung 1/14"
"843","61.2","61-B3",2,30,"W. Australia","+","Fluctuating","2017-12-14","2017-12-15","2017-12-21",0.0789,"2018-01-10",NA,NA,NA,NA,NA,NA,"2018-01-12","No","No","No","No","No","No","dead 1/12"
"844","61.2","61-B4",2,30,"W. Australia","+","Fluctuating","2017-12-14","2017-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-21","No","No","No","No","No","No","dead 12/21"
"845","61.2","61-C1",2,30,"W. Australia","+","Fluctuating","2017-12-14","2017-12-15","2017-12-21",0.0918,"2018-01-08","Male","2018-01-10",20,0.0452,"2018-01-20",3.611,NA,"No","No","No","No","No","No","Made it to adult"
"846","61.2","61-C2",2,30,"W. Australia","+","Fluctuating","2017-12-14","2017-12-15","2017-12-23",0.0459,NA,NA,NA,NA,NA,NA,NA,"2018-01-10","No","No","No","No","No","No","May be dying 1/8, dead 1/10"
"847","61.2","61-C3",2,30,"W. Australia","+","Fluctuating","2017-12-14","2017-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-19","No","No","No","No","No","No","dead 12/19"
"848","61.2","61-C4",2,30,"W. Australia","+","Fluctuating","2017-12-14","2017-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-21","No","No","No","No","No","No","dead 12/21"
"849","62.2","62-A1",2,30,"W. Australia","+","Fluctuating","2017-12-15","2017-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-20","No","No","No","No","No","No","Dead 12/20"
"850","62.2","62-A2",2,30,"W. Australia","+","Fluctuating","2017-12-15","2017-12-16","2017-12-20",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-22","No","No","No","No","No","No","dead 12/22"
"851","62.2","62-A3",2,30,"W. Australia","+","Fluctuating","2017-12-15","2017-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-22","No","No","No","No","No","No","dead 12/22"
"852","62.2","62-A4",2,30,"W. Australia","+","Fluctuating","2017-12-15","2017-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-20","No","No","No","No","No","No","Dead 12/20"
"853","62.2","62-B1",2,30,"W. Australia","+","Fluctuating","2017-12-15","2017-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-28","No","No","No","No","No","No","Dead 12/28"
"854","62.2","62-B2",2,30,"W. Australia","+","Fluctuating","2017-12-15","2017-12-16","2017-12-22",0.0453,NA,NA,NA,NA,NA,NA,NA,"2018-01-07","No","No","No","No","No","No","Dead 1/7"
"855","62.2","62-B3",2,30,"W. Australia","+","Fluctuating","2017-12-15","2017-12-16","2017-12-24",0.059,NA,NA,NA,NA,NA,NA,NA,"2018-01-17","No","No","No","No","No","No","Dead 1/17"
"856","62.2","62-B4",2,30,"W. Australia","+","Fluctuating","2017-12-15","2017-12-16","2017-12-26",NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-01","No","No","No","No","No","No","Dead 1/1"
"857","62.2","62-C1",2,30,"W. Australia","+","Fluctuating","2017-12-15","2017-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-20","No","No","No","No","No","No","Dead 12/20"
"858","62.2","62-C2",2,30,"W. Australia","+","Fluctuating","2017-12-15","2017-12-16","2017-12-22",0.06,NA,NA,NA,NA,NA,NA,NA,"2018-01-07","No","No","No","No","No","No","Dead 1/7"
"859","63.2","63-A1",2,30,"W. Australia","-","Fluctuating","2017-12-16","2017-12-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-27","No","No","No","No","No","No","Dying 12/23, Dead 12/27"
"860","63.2","63-A2",2,30,"W. Australia","-","Fluctuating","2017-12-16","2017-12-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-23","No","No","No","No","No","No","Dead 12/23"
"861","63.2","63-A3",2,30,"W. Australia","-","Fluctuating","2017-12-16","2017-12-17","2017-12-27",NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-02","No","No","No","No","No","No","Dying 12/31, Dead 1/2"
"862","63.2","63-A4",2,31,"W. Australia","-","Fluctuating","2017-12-16","2017-12-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-27","No","No","No","No","No","No","Dead 12/23"
"863","60.2","60-B1",2,31,"W. Australia","-","Fluctuating","2017-12-21","2017-12-22","2017-12-26",0.052,NA,NA,NA,NA,NA,NA,NA,"2018-01-19","No","Maybe","Maybe","No","Maybe","Maybe","Kinked before 1/9, dead 1/19"
"864","60.2","60-B2",2,31,"W. Australia","-","Fluctuating","2017-12-21","2017-12-22","2017-12-26",0.0419,NA,NA,NA,NA,NA,NA,NA,"2018-01-09","No","No","No","No","No","No","dead 1/9"
"865","60.2","60-B3",2,31,"W. Australia","-","Fluctuating","2017-12-21","2017-12-22","2017-12-26",NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-01","No","No","No","No","No","No","Dead 1/1"
"866","64.2","64-A1",2,31,"W. Australia","-","Fluctuating","2017-12-22","2017-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-27","No","No","No","No","No","No","Dying 12/25, Dead 12/27"
"867","64.2","64-A2",2,31,"W. Australia","-","Fluctuating","2017-12-22","2017-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-02","No","No","No","No","No","No","Dying 12/31, Dead 1/2"
"868","64.2","64-A3",2,31,"W. Australia","-","Fluctuating","2017-12-22","2017-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-12","No","No","No","No","No","No","Dead 1/12"
"869","64.2","64-A4",2,31,"W. Australia","-","Fluctuating","2017-12-22","2017-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-27","No","No","No","No","No","No","Dead 12/27"
"870","64.2","64-B1",2,31,"W. Australia","-","Fluctuating","2017-12-22","2017-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-31","No","No","No","No","No","No","Dead 12/31"
"871","64.2","64-B2",2,31,"W. Australia","-","Fluctuating","2017-12-22","2017-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-06","No","No","No","No","No","No","Dead 1/6"
"872","64.2","64-B3",2,31,"W. Australia","-","Fluctuating","2017-12-22","2017-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-27","No","No","No","No","No","No","Dead 12/27"
"873","65.2","65-A1",2,31,"W. Australia","-","Fluctuating","2017-12-23","2017-12-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-07","No","No","No","No","No","No","Dead 1/7"
"874","65.2","65-A2",2,31,"W. Australia","-","Fluctuating","2017-12-23","2017-12-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-12-26","No","No","No","No","No","No","Dead 12/26"
